ManhattanCollege,Hampton
BYU,OleMiss
NorthFlorida,RobertMorris
BoiseState,Dayton
Baylor,GeorgiaState
Harvard,NorthCarolina
Wofford,Arkansas
OleMiss,Xavier
Hampton,Kentucky
IowaState,UAB
SMU,UCLA
Purdue,Cincinnati
Lafayette,Villanova
Northeastern,NotreDame
Texas,Butler
LSU,NorthCarolinaState
TexasSouthern,Arizona
EasternWashington,Georgetown
StephenFAustin,Utah
VCU,OhioState
RobertMorris,Duke
Belmont,Virginia
Georgia,MichiganState
StJohns,SanDiegoState
Albany,Oklahoma
Valparaiso,Maryland
Buffalo,WestVirginia
Providence,Dayton
CoastalCarolina,Wisconsin
NewMexicoState,Kansas
Indiana,WichitaState
OklahomaState,Oregon
NorthDakotaState,Gonzaga
UCIrvine,Louisville
Wyoming,NorthernIowa
Davidson,Iowa
GeorgiaState,Xavier
Arkansas,NorthCarolina
OhioState,Arizona
Georgetown,Utah
Cincinnati,Kentucky
UAB,UCLA
Butler,NotreDame
Villanova,NorthCarolinaState
Virginia,MichiganState
Kansas,WichitaState
Oregon,Wisconsin
Maryland,WestVirginia
NorthernIowa,Louisville
SanDiegoState,Duke
Dayton,Oklahoma
Iowa,Gonzaga
WestVirginia,Kentucky
WichitaState,NotreDame
NorthCarolina,Wisconsin
Xavier,Arizona
NorthCarolinaState,Louisville
Oklahoma,MichiganState
Utah,Duke
UCLA,Gonzaga
NotreDame,Kentucky
Arizona,Wisconsin
Louisville,MichiganState
Gonzaga,Duke
Kentucky,Wisconsin
MichiganState,Duke
Wisconsin,Duke
