,ID,AGE,SEX,REGION,INCOME,MARRIED,CHILDREN,CAR
0,ID12701,23,MALE,INNER_CITY,18766.0,YES,1,YES
1,ID12702,30,,RURAL,9915.0,NO,2,NO
2,ID12703,45,MALE,RURAL,21881.0,NO,0,YES
3,ID12704,50,MALE,TOWN,,YES,2,NO
4,ID12705,41,FEMALE,INNER_CITY,80000.0,YES,0,NO
5,ID12706,20,MALE,INNER_CITY,16688.0,NO,1,NO
6,ID12707,46,FEMALE,RURAL,39068.0,YES,0,YES
7,ID12708,50,FEMALE,INNER_CITY,27740.0,YES,1,YES
8,ID12709,42,MALE,INNER_CITY,33584.0,NO,3,YES
9,ID12710,57,FEMALE,TOWN,19621.0,YES,99,YES
10,ID12721,50,FEMALE,INNER_CITY,-1000.0,Yes,2,YES
